afgræsse		vb.	11000435
afgrøde		sb.	11000436
afgrødeplante		sb.	40000158
afgud		sb.	11000437
afguderi		sb.	11000438
afgudsbillede		sb.	40000159
afgudsdyrkelse		sb.	11000439
afgudsdyrker		sb.	40000160
afgøre		vb.	11000440
afgørelse		sb.	11000441
afgørende		adj.	11000442
afgå		vb.	11000443
afhandle		vb.	11000444
afhandling		sb.	11000445
afhaspe		vb.	11000446
afhaspning		sb.	40000161
afhente		vb.	11000447
afhentning		sb.	40000162
afhjemle		vb.	11000448
afhjemling		sb.	40000163
afhjælpe		vb.	11000449
afhjælpning		sb.	40000164
afhold		sb.	11000450
afholde		vb.	11000451
afholdelse		sb.	11000452
afholdende		adj.	11000453
afholdenhed		sb.	11000454
afholdsbevægelse		sb.	11000455
afholdsfolk		sb. pl.	40000165
afholdsforening		sb.	11000456
afholdshotel		sb.	11000457
afholdsloge		sb.	50000065
afholdsmand		sb.	11000458
afholdssag		sb.	40000166
afholdt		adj.	11000459
afhopning		sb.	53400007
afhopper		sb.	11000460
afhoppet		adj.	11000461
afhugge		vb.	11000462
afhugning		sb.	40000167
afhænde		vb.	11000463
afhændelse		sb.	40000168
afhænge		vb.	11000464
afhængig		adj.	11000465
afhængighed		sb.	11000466
afhængighedsfald		sb.	11000467
afhængighedsforhold		sb.	40000169
afhærde		vb.	11000468
afhærdning		sb.	40000170
afhøre		vb.	11000469
afhøring		sb.	11000470
afhøringsteknik		sb.	40000171
afhøste		vb.	11000471
afhøvle		vb.	11000472
afhøvling		sb.	40000172
afhåre		vb.	11000473
afhåring		sb.	40000173
aficionado		sb.	11000474
afideologisere		vb.	11000475
afideologisering		sb.	40000174
afindustrialisere		vb.	11000476
afindustrialisering		sb.	40000175
afinstallation		sb.	40000176
afinstallere		vb.	11000477
afinstallering		sb.	40000177
afise		vb.	11000478
afisning		sb.	40000178
afjog		sb.	41002261
afjogge		vb.	41002259
afjogning		sb.	41002260
afkald		sb.	11000479
afkalke		vb.	11000480
afkalkning		sb.	40000179
afkast		sb.	11000481
afkaste		vb.	11000482
afkastning		sb.	11000483
afklapse		vb.	11000484
afklapsning		sb.	11000485
afklare		vb.	11000486
afklaret		adj.	11000487
afklarethed		sb.	40000180
afklaring		sb.	11000488
afklippe		vb.	11000489
afklæde		vb.	11000490
afklædning		sb.	11000491
afklædthed		sb.	48005540
afkoble		vb.	11000492
afkobling		sb.	11000493
afkode		vb.	11000494
afkodning		sb.	40000181
afkog		sb.	11000495
afkoge		vb.	11000496
afkogning		sb.	40000182
afkokse		vb.	11000497
afkolonisere		vb.	11000498
afkolonisering		sb.	40000183
afkom		sb.	11000499
AF-kontor		sb.	11000500
af-kontor		sb.	11000500
afkorte		vb.	11000501
afkortning		sb.	40000184
afkriminalisere		vb.	11000502
afkriminalisering		sb.	40000185
afkristne		vb.	11000503
afkristning		sb.	40000186
afkrog		sb.	11000504
afkrydse		vb.	11000505
afkrydsning		sb.	40000187
afkræfte		vb.	11000506
afkræftelse		sb.	40000188
afkræve		vb.	11000507
afkviste		vb.	11000508
afkøbe		vb.	11000509
afkøle		vb.	11000510
afkøling		sb.	40000189
afkørsel		sb.	11000511
afkørselsrampe		sb.	50000067
aflad		sb.	11000512
aflade		vb.	11000513
afladning		sb.	40000190
afladsbrev		sb.	11000514
afladshandel		sb.	11000515
aflagt		adj.	11000516
aflang		adj.	11000517
aflaste		vb.	11000518
aflastning		sb.	11000519
aflastningsfamilie		sb.	11000520
aflastningsophold		sb.	11000521
aflastningsplads		sb.	11000522
aflatoksin		sb.	41001377
aflede		vb.	11000523
afledning		sb.	11000524
afledningsendelse		sb.	40000191
afledningskanal		sb.	40000192
afledningsmanøvre		sb.	11000525
aflejre		vb.	11000526
aflejring		sb.	11000527
aflevere		vb.	11000528
aflevering		sb.	11000529
afleveringsdato		sb.	40000193
afleveringsfrist		sb.	40000194
afleveringspligt		sb.	11000530
aflire		vb.	11000531
afliring		sb.	40000195
afliste	1	vb.	49130140
afliste	2	vb.	49000625
afliste	3	vb.	49000626
aflive		vb.	11000532
aflivning		sb.	40000196
aflivningsmetode		sb.	40000197
aflokke		vb.	11000533
aflukke	1	sb.	11000534
aflukke	2	vb.	11000535
aflukning		sb.	11000536
aflure		vb.	11000537
afluring		sb.	40000198
afluse		vb.	11000538
aflusning		sb.	40000199
aflyd		sb.	11000539
aflyse		vb.	11000540
aflysning		sb.	11000541
aflytning		sb.	11000542
aflytningsudstyr		sb.	40000200
aflytte		vb.	11000543
aflægge		vb.	11000544
aflæggelse		sb.	11000545
aflægger		sb.	11000546
aflægning		sb.	11000547
aflægs		adj.	11000548
aflære		vb.	11000549
aflæring		sb.	40000201
aflæse		vb.	11000550
aflæselig		adj.	11000551
aflæser		sb.	11000552
aflæsning	1	sb.	11000553
aflæsning	2	sb.	11000554
aflæsse		vb.	11000555
afløb		sb.	11000556
afløbsforhold		sb. pl.	40000202
afløbsledning		sb.	40000203
afløbsrende		sb.	50000070
afløbsrens		sb.	50000071
afløbsrør		sb.	11000557
afløbssystem		sb.	40000204
afløbsvand		sb.	40000205
afløfte		vb.	11000558
aflønne		vb.	11000559
aflønning		sb.	11000560
aflønningsform		sb.	40000206
afløse		vb.	11000561
afløser		sb.	11000562
afløsning		sb.	11000563
afløsningsopgave		sb.	11000564
afløve		vb.	11000565
afløvning		sb.	40000207
afløvningsmiddel		sb.	40000208
aflåse		vb.	11000566
aflåselig		adj.	11000567
aflåsning		sb.	40000209
afmagnetisere		vb.	11000568
afmagnetisering		sb.	40000210
afmagre		vb.	11000569
afmagring		sb.	11000570
afmagringskur		sb.	11000571
afmagringspille		sb.	11000572
afmagt		sb.	11000573
afmagtsfølelse		sb.	40000211
afmale		vb.	11000574
afmarch		sb.	11000575
afmarchere		vb.	11000576
afmaste		vb.	11000577
afmatning		sb.	11000578
afmatte		vb.	11000579
afmelde		vb.	11000580
afmelding		sb.	40000212
afmilitarisere		vb.	11000581
